day,site_id,sku_id,sku_name,abc_class,xyz_class,true_stock_level,perceived_stock_level,on_order,demand,fulfilled,stockout,reorder_point
0,SITE_A,HSC-100,IV Drip,C,Y,2519.68837402111,2718.0,0.0,198.31,198.31,False,527.0
0,SITE_A,HSC-101,Gloves,A,Y,3478.2823245717263,3727.0,0.0,248.72,248.72,False,613.0
0,SITE_A,HSC-102,IV Drip,B,Y,1884.6329447985158,2123.0,0.0,238.37,238.37,False,442.0
0,SITE_A,HSC-103,Gloves,B,Y,2234.4894762197423,2535.0,0.0,300.51,300.51,False,385.0
0,SITE_A,HSC-104,X-ray Machine,A,Y,2259.8440368477304,2448.0,0.0,188.16,188.16,False,589.0
0,SITE_A,HSC-105,IV Drip,C,Y,2520.4945504836073,2625.0,0.0,104.51,104.51,False,510.0
0,SITE_A,HSC-106,Ventilator,B,Y,2118.6728904000192,2355.5,0.0,236.83,236.83,False,491.0
0,SITE_A,HSC-107,Surgical Mask,C,Y,2699.7831989907218,2895.0,0.0,195.22,195.22,False,583.0
0,SITE_A,HSC-108,Ventilator,B,Y,1716.7348826292375,1959.0,0.0,242.27,242.27,False,462.0
0,SITE_A,HSC-109,X-ray Machine,A,Y,2260.168870693132,2545.0,0.0,284.83,284.83,False,483.5
1,SITE_A,HSC-100,IV Drip,C,Y,2301.929546551752,2718.0,0.0,217.76,217.76,False,527.0
1,SITE_A,HSC-101,Gloves,A,Y,3129.4415447683,3727.0,0.0,348.84,348.84,False,613.0
1,SITE_A,HSC-102,IV Drip,B,Y,1672.136984430702,2123.0,0.0,212.5,212.5,False,442.0
1,SITE_A,HSC-103,Gloves,B,Y,1925.343297985401,2535.0,0.0,309.15,309.15,False,385.0
1,SITE_A,HSC-104,X-ray Machine,A,Y,1945.4400491821737,1848.0,0.0,314.4,314.4,False,589.0
1,SITE_A,HSC-105,IV Drip,C,Y,2405.1073662966487,2625.0,0.0,115.39,115.39,False,510.0
1,SITE_A,HSC-106,Ventilator,B,Y,1871.8070452273014,2355.5,0.0,246.87,246.87,False,491.0
1,SITE_A,HSC-107,Surgical Mask,C,Y,2528.51116469761,2895.0,0.0,171.27,171.27,False,583.0
1,SITE_A,HSC-108,Ventilator,B,Y,1435.3114664500574,1959.0,0.0,281.42,281.42,False,462.0
1,SITE_A,HSC-109,X-ray Machine,A,Y,1926.6928831215691,2545.0,0.0,333.48,333.48,False,483.5
2,SITE_A,HSC-100,IV Drip,C,Y,2120.1852889341235,2519.68837402111,0.0,181.74,181.74,False,527.0
2,SITE_A,HSC-101,Gloves,A,Y,2860.947144074069,3478.2823245717263,0.0,268.49,268.49,False,613.0
2,SITE_A,HSC-102,IV Drip,B,Y,1415.9249218288235,1884.6329447985158,0.0,256.21,256.21,False,442.0
2,SITE_A,HSC-103,Gloves,B,Y,1675.4918318259038,2234.4894762197423,0.0,249.85,249.85,False,385.0
2,SITE_A,HSC-104,X-ray Machine,A,Y,1677.798761499088,2259.8440368477304,0.0,267.64,267.64,False,589.0
2,SITE_A,HSC-105,IV Drip,C,Y,2277.2592876321446,2520.4945504836073,0.0,127.85,127.85,False,510.0
2,SITE_A,HSC-106,Ventilator,B,Y,1618.1257214652933,2118.6728904000192,0.0,253.68,253.68,False,491.0
2,SITE_A,HSC-107,Surgical Mask,C,Y,2307.8947188594047,2699.7831989907218,0.0,220.62,220.62,False,583.0
2,SITE_A,HSC-108,Ventilator,B,Y,1174.2585420188489,1716.7348826292375,0.0,261.05,261.05,False,462.0
2,SITE_A,HSC-109,X-ray Machine,A,Y,1564.0980549693818,2260.168870693132,0.0,362.59,362.59,False,483.5
3,SITE_A,HSC-100,IV Drip,C,Y,1859.7119341206671,2301.929546551752,0.0,260.47,260.47,False,527.0
3,SITE_A,HSC-101,Gloves,A,Y,2577.3324831765335,3129.4415447683,0.0,283.61,283.61,False,613.0
3,SITE_A,HSC-102,IV Drip,B,Y,1225.2876969877275,1672.136984430702,0.0,190.64,190.64,False,442.0
3,SITE_A,HSC-103,Gloves,B,Y,1456.1369582346506,1925.343297985401,0.0,219.35,219.35,False,385.0
3,SITE_A,HSC-104,X-ray Machine,A,Y,1355.644635640647,1945.4400491821737,0.0,322.15,322.15,False,589.0
3,SITE_A,HSC-105,IV Drip,C,Y,2113.020438399992,2405.1073662966487,0.0,164.24,164.24,False,510.0
3,SITE_A,HSC-106,Ventilator,B,Y,1391.373912025772,1871.8070452273014,0.0,226.75,226.75,False,491.0
3,SITE_A,HSC-107,Surgical Mask,C,Y,2132.1989491910285,2528.51116469761,0.0,175.7,175.7,False,583.0
3,SITE_A,HSC-108,Ventilator,B,Y,967.3213503931837,1435.3114664500574,0.0,206.94,206.94,False,462.0
3,SITE_A,HSC-109,X-ray Machine,A,Y,1188.1916498108396,1926.6928831215691,0.0,375.91,375.91,False,483.5
4,SITE_A,HSC-100,IV Drip,C,Y,1646.5602129671427,1945.0,0.0,213.15,213.15,False,527.0
4,SITE_A,HSC-101,Gloves,A,Y,2241.4155460782836,2860.947144074069,0.0,335.92,335.92,False,613.0
4,SITE_A,HSC-102,IV Drip,B,Y,1040.44396392324,1672.136984430702,0.0,184.84,184.84,False,442.0
4,SITE_A,HSC-103,Gloves,B,Y,1188.3971754295842,1675.4918318259038,0.0,267.74,267.74,False,385.0
4,SITE_A,HSC-104,X-ray Machine,A,Y,1059.553636403501,1677.798761499088,0.0,296.09,296.09,False,589.0
4,SITE_A,HSC-105,IV Drip,C,Y,1971.1472595783603,3346.0,0.0,141.87,141.87,False,510.0
4,SITE_A,HSC-106,Ventilator,B,Y,1123.561474848671,1618.1257214652933,0.0,267.81,267.81,False,491.0
4,SITE_A,HSC-107,Surgical Mask,C,Y,1916.8677790436839,2307.8947188594047,0.0,215.33,215.33,False,583.0
4,SITE_A,HSC-108,Ventilator,B,Y,694.625671144419,1174.2585420188489,0.0,272.7,272.7,False,462.0
4,SITE_A,HSC-109,X-ray Machine,A,Y,847.5983855718976,1564.0980549693818,0.0,340.59,340.59,False,483.5
5,SITE_A,HSC-100,IV Drip,C,Y,1448.7764125154736,1196.0,0.0,197.78,197.78,False,527.0
5,SITE_A,HSC-101,Gloves,A,Y,1900.6441905990969,2577.3324831765335,0.0,340.77,340.77,False,613.0
5,SITE_A,HSC-102,IV Drip,B,Y,885.5244539137842,1225.2876969877275,0.0,154.92,154.92,False,442.0
5,SITE_A,HSC-103,Gloves,B,Y,946.185165898273,1456.1369582346506,0.0,242.21,242.21,False,385.0
5,SITE_A,HSC-104,X-ray Machine,A,Y,794.107088957585,1355.644635640647,0.0,265.45,265.45,False,589.0
5,SITE_A,HSC-105,IV Drip,C,Y,1850.3444883096993,2113.020438399992,0.0,120.8,120.8,False,510.0
5,SITE_A,HSC-106,Ventilator,B,Y,903.5266524572869,1391.373912025772,0.0,220.03,220.03,False,491.0
5,SITE_A,HSC-107,Surgical Mask,C,Y,1654.1662657870902,2132.1989491910285,0.0,262.7,262.7,False,583.0
5,SITE_A,HSC-108,Ventilator,B,Y,489.49712414484145,967.3213503931837,0.0,205.13,205.13,False,462.0
5,SITE_A,HSC-109,X-ray Machine,A,Y,452.44976563429157,1003.0,0.0,395.15,395.15,False,483.5
