site_id,site_name,sku_id,sku_name,item_type,uom,initial_stock,source_stock_before_capacity_check,reorder_point,max_capacity,reorder_qty,lead_time_days,demand_mean,demand_std,unit_cost,vendor_id,storage_mode,batch_number,expiry_date,source_record_count,source_date_min,source_date_max,source_dataset,source_fields,derived_fields,quality_note
SITE_A,Central Distribution Hub,HSC-100,IV Drip,Consumable,case,2718.0,2718.0,527.0,3325.0,1833.0,13,188.0,33.84,7703.61,V003,VNA,B-A-100-17C17C,2027-06-30,15,2024-11-12,2026-01-06,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_A,Central Distribution Hub,HSC-101,Gloves,Consumable,box,3727.0,3801.0,613.0,3727.0,2983.5,13,306.0,55.08,14662.67,V001,VNA,B-A-101-4791A6,2027-03-29,9,2024-11-03,2025-10-05,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",Initial stock capped at capacity
SITE_A,Central Distribution Hub,HSC-102,IV Drip,Consumable,case,2123.0,2123.0,442.0,3962.0,1575.0,10,210.0,37.8,11371.41,V001,VNA,B-A-102-94B76A,2027-07-21,13,2024-10-31,2026-01-27,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_A,Central Distribution Hub,HSC-103,Gloves,Consumable,box,2535.0,2556.0,385.0,2535.0,2535.0,16,257.0,46.26,9426.31,V001,VNA,B-A-103-B9F716,2027-07-30,29,2024-10-04,2026-02-05,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",Initial stock capped at capacity
SITE_A,Central Distribution Hub,HSC-104,X-ray Machine,Equipment,unit,2448.0,2448.0,589.0,4100.0,1957.5,9,290.0,52.2,6213.3,V001,SECURE_CAGE,B-A-104-CED111,,21,2024-10-10,2026-01-15,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_A,Central Distribution Hub,HSC-105,IV Drip,Consumable,case,2625.0,2625.0,510.0,3018.5,1023.75,10,136.5,24.57,11739.63,V001,VNA,B-A-105-C2C02C,2027-06-15,14,2024-10-01,2025-12-22,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_A,Central Distribution Hub,HSC-106,Ventilator,Equipment,unit,2355.5,2355.5,491.0,3302.5,3302.5,22,231.5,41.67,12953.25,V003,SECURE_CAGE,B-A-106-D40D9F,,18,2024-10-16,2026-02-11,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_A,Central Distribution Hub,HSC-107,Surgical Mask,Consumable,box,2895.0,2895.0,583.0,2971.0,2484.0,16,207.0,37.26,10604.88,V001,VNA,B-A-107-CCE8F1,2027-06-18,11,2024-12-03,2025-12-25,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_A,Central Distribution Hub,HSC-108,Ventilator,Consumable,unit,1959.0,1959.0,462.0,2817.0,2817.0,16,243.0,43.74,10919.13,V001,SECURE_CAGE,B-A-108-045096,,19,2024-10-13,2026-02-08,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_A,Central Distribution Hub,HSC-109,X-ray Machine,Consumable,unit,2545.0,2545.0,483.5,3865.5,2776.12,11,336.5,60.57,13535.45,V002,SECURE_CAGE,B-A-109-D603F9,,18,2024-10-22,2026-01-24,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
