day,site_id,sku_id,order_qty,expected_arrival_day
5,SITE_A,HSC-109,2776.12,16
6,SITE_A,HSC-104,1957.5,15
6,SITE_A,HSC-108,2817.0,22
7,SITE_A,HSC-103,2535.0,23
7,SITE_A,HSC-106,3302.5,29
8,SITE_A,HSC-102,1575.0,18
10,SITE_A,HSC-101,2983.5,23
11,SITE_A,HSC-100,1833.0,24
11,SITE_A,HSC-107,2484.0,27
15,SITE_A,HSC-105,1023.75,25
19,SITE_A,HSC-104,1957.5,28
22,SITE_A,HSC-109,2776.12,33
23,SITE_A,HSC-102,1575.0,33
28,SITE_A,HSC-105,1023.75,38
4,SITE_B,HSC-102,2485.44,26
5,SITE_B,HSC-106,1436.4,15
6,SITE_B,HSC-103,2146.5,21
6,SITE_B,HSC-104,1239.84,14
7,SITE_B,HSC-109,1799.82,18
9,SITE_B,HSC-101,2116.8,25
9,SITE_B,HSC-108,2535.84,27
11,SITE_B,HSC-105,1425.6,26
15,SITE_B,HSC-107,1564.92,33
18,SITE_B,HSC-100,1183.68,34
18,SITE_B,HSC-104,1239.84,26
19,SITE_B,HSC-106,1436.4,29
24,SITE_B,HSC-109,1799.82,35
3,SITE_C,HSC-108,1681.2,23
4,SITE_C,HSC-104,1235.04,21
5,SITE_C,HSC-101,1651.68,22
5,SITE_C,HSC-107,1743.84,25
5,SITE_C,HSC-109,1252.8,25
6,SITE_C,HSC-102,1635.36,26
6,SITE_C,HSC-103,1506.24,22
7,SITE_C,HSC-100,839.52,15
8,SITE_C,HSC-106,517.32,14
9,SITE_C,HSC-105,1118.88,23
17,SITE_C,HSC-106,517.32,23
19,SITE_C,HSC-100,839.52,27
25,SITE_C,HSC-104,1235.04,42
26,SITE_C,HSC-106,517.32,32
