day,site_id,sku_id,order_qty,expected_arrival_day
7,SITE_A,HSC-109,2776.12,18
8,SITE_A,HSC-104,1957.5,17
8,SITE_A,HSC-106,3302.5,30
8,SITE_A,HSC-108,2817.0,24
9,SITE_A,HSC-103,2535.0,25
10,SITE_A,HSC-102,1575.0,20
12,SITE_A,HSC-101,2983.5,25
13,SITE_A,HSC-100,1833.0,26
13,SITE_A,HSC-107,2484.0,29
17,SITE_A,HSC-104,1957.5,26
17,SITE_A,HSC-105,1023.75,27
18,SITE_A,HSC-109,2776.12,29
20,SITE_A,HSC-102,1575.0,30
24,SITE_A,HSC-108,2817.0,40
25,SITE_A,HSC-101,2983.5,38
25,SITE_A,HSC-103,2535.0,41
26,SITE_A,HSC-100,1833.0,39
26,SITE_A,HSC-104,1957.5,35
27,SITE_A,HSC-105,1023.75,37
29,SITE_A,HSC-107,2484.0,45
29,SITE_A,HSC-109,2776.12,40
6,SITE_B,HSC-102,2485.44,28
7,SITE_B,HSC-106,1436.4,17
8,SITE_B,HSC-103,2146.5,23
8,SITE_B,HSC-104,1239.84,16
9,SITE_B,HSC-109,1799.82,20
11,SITE_B,HSC-101,2116.8,27
11,SITE_B,HSC-108,2535.84,29
13,SITE_B,HSC-105,1425.6,28
16,SITE_B,HSC-104,1239.84,24
17,SITE_B,HSC-106,1436.4,27
17,SITE_B,HSC-107,1564.92,35
20,SITE_B,HSC-100,1183.68,36
20,SITE_B,HSC-109,1799.82,31
23,SITE_B,HSC-103,2146.5,38
24,SITE_B,HSC-104,1239.84,32
27,SITE_B,HSC-101,2116.8,43
27,SITE_B,HSC-106,1436.4,37
28,SITE_B,HSC-102,2485.44,50
28,SITE_B,HSC-105,1425.6,43
29,SITE_B,HSC-108,2535.84,47
5,SITE_C,HSC-108,1681.2,25
6,SITE_C,HSC-104,1235.04,23
7,SITE_C,HSC-101,1651.68,24
7,SITE_C,HSC-107,1743.84,27
7,SITE_C,HSC-109,1252.8,27
8,SITE_C,HSC-102,1635.36,28
8,SITE_C,HSC-103,1506.24,24
10,SITE_C,HSC-100,839.52,18
10,SITE_C,HSC-106,517.32,16
11,SITE_C,HSC-105,1118.88,25
16,SITE_C,HSC-106,517.32,22
18,SITE_C,HSC-100,839.52,26
22,SITE_C,HSC-106,517.32,28
23,SITE_C,HSC-104,1235.04,40
24,SITE_C,HSC-101,1651.68,41
24,SITE_C,HSC-103,1506.24,40
25,SITE_C,HSC-105,1118.88,39
25,SITE_C,HSC-108,1681.2,45
26,SITE_C,HSC-100,839.52,34
27,SITE_C,HSC-107,1743.84,47
27,SITE_C,HSC-109,1252.8,47
28,SITE_C,HSC-102,1635.36,48
28,SITE_C,HSC-106,517.32,34
